image_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g,meanR,meanG,meanB,stdR,stdG,stdB,green_ratio,brightness,saturation,lap_var
ID1011485656,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,0.0,31.9984,16.2751,48.2735,16.275,0.4287691607843699,0.4664369882353275,0.3306956235295335,0.212864420521294,0.2070544337691811,0.20308765461973,0.3804847976399438,0.4793089568627451,0.3589774507066536,0.0068590547440907
ID1012260530,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,0.0,0.0,7.6,7.6,7.6,0.432404643137307,0.4321930980392529,0.3677585882353815,0.2422902869129491,0.2568160288792505,0.2240063361810009,0.3507046520341914,0.4653215686274509,0.2319856045419781,0.0082781829175484
ID1025234388,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,6.05,0.0,0.0,6.05,6.05,0.4193067294118324,0.4259741176471215,0.3748240000001103,0.1827344381397133,0.1814843026327807,0.1759660746717458,0.3491291083096331,0.4415893647058824,0.1729323635795492,0.0050377259311778
ID1028611175,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,0.0,30.9703,24.2376,55.2079,24.2376,0.4305991215686676,0.4915363450980443,0.2849654274511105,0.2212075636152691,0.2086878003026283,0.2198533305394726,0.4072040266775434,0.4988975686274509,0.4970667087920903,0.0079085687028281
ID1035947949,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,0.4343,23.2239,10.5261,34.1844,10.9605,0.4289630431373074,0.4347782901961255,0.2307233568629029,0.1408088701696754,0.1379863460630142,0.1280170179950096,0.3972520024569076,0.454726494117647,0.5214034273737865,0.0036498330060576
ID1036339023,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,23.0755,2.6135,32.191,57.88,55.2665,0.4282909176471167,0.5870076235293403,0.2687801098040476,0.2078570237763652,0.2017976474162762,0.195728803450002,0.4571430438657058,0.5870750745098039,0.6052149254686648,0.0073340777935303
ID1049634115,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,1.5083,3.0167,13.575,18.1,15.0833,0.42648213333338,0.5764234352940596,0.2588864313726888,0.1532799194530671,0.1523356753748322,0.1341569646942979,0.4568292038919027,0.5766711529411764,0.5796821711951804,0.004082082330468
ID1051144034,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,55.32,0.0,0.0,55.32,55.32,0.3180523921569861,0.4594000313725807,0.2162766431374051,0.2050731245959034,0.2210909873969542,0.16979518378568,0.4622990776058684,0.4599762823529412,0.6043113163814887,0.0078433241639689
ID1052620238,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,0.0,11.2291,20.1707,31.3998,20.1707,0.4902927058823654,0.5357116549019422,0.4736967529411909,0.1757455558628443,0.189668505563016,0.1826072953085191,0.3572122802615889,0.5525479843137255,0.1953348493875078,0.0062192025609657
ID105271783,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,5.2698,8.5635,27.6667,41.5,32.9365,0.3965838745098755,0.5517969254901511,0.3474707450981459,0.1805414790287188,0.184669971868107,0.1888891795795124,0.4258180091320024,0.552305505882353,0.4269215563615444,0.0067746945597713
